fuel_type,fuel_class,plot_id,n_transect,quadrat,plot_tran,time,si_value,si_units,us_value,us_units,lab_time,lab_fuel,lab_class,lab_time_abbr,order_class,order_time
wd,hr1000s,FOR06,3,NA,FOR06_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR06,3,NA,FOR06_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR07,1,NA,FOR07_1,t1,23.593940181596704,Metric tons per hectare,10.523612926671143,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR07,1,NA,FOR07_1,t2,289.76307785523454,Metric tons per hectare,129.24312125568,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR07,2,NA,FOR07_2,t1,112.28362553757411,Metric tons per hectare,50.081902559132075,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR07,2,NA,FOR07_2,t2,196.84723102055958,Metric tons per hectare,87.79983542397841,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR07,3,NA,FOR07_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR07,3,NA,FOR07_3,t2,633.3755765275714,Metric tons per hectare,282.5047174520836,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR08,1,NA,FOR08_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR08,1,NA,FOR08_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR08,2,NA,FOR08_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR08,2,NA,FOR08_2,t2,184.15280646841512,Metric tons per hectare,82.13773705103262,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR08,3,NA,FOR08_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR08,3,NA,FOR08_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR10,1,NA,FOR10_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR10,1,NA,FOR10_1,t2,124.58117824455127,Metric tons per hectare,55.5669840519854,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR10,2,NA,FOR10_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR10,2,NA,FOR10_2,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000s,FOR10,3,NA,FOR10_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr sound,Pre-thin,5,1
wd,hr1000s,FOR10,3,NA,FOR10_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr sound,Post-thin,5,2
wd,hr1000r,FOR05,1,NA,FOR05_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR05,1,NA,FOR05_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR05,2,NA,FOR05_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR05,2,NA,FOR05_2,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR05,3,NA,FOR05_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR05,3,NA,FOR05_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR06,1,NA,FOR06_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR06,1,NA,FOR06_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR06,2,NA,FOR06_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR06,2,NA,FOR06_2,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR06,3,NA,FOR06_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR06,3,NA,FOR06_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR07,1,NA,FOR07_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR07,1,NA,FOR07_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR07,2,NA,FOR07_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR07,2,NA,FOR07_2,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR07,3,NA,FOR07_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
wd,hr1000r,FOR07,3,NA,FOR07_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,1000-hr rotten,Post-thin,4,2
wd,hr1000r,FOR08,1,NA,FOR08_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1000-hr rotten,Pre-thin,4,1
