year,plot_id,timing,date,plot_tran,transect_n,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_year,lab_year_abbr,lab_type
2019,RxF03,2Post-burn,2019-10-16,RxF03_1,1,a,wd,hr0001,0.11936889661851825,0.2676250662187179,tons_per_acre,tons_per_hectare,1-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_1,1,a,wd,hr0010,0.593944403590568,1.3316233528500534,tons_per_acre,tons_per_hectare,10-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_1,1,a,wd,hr0100,1.4714397659041045,3.298967955157002,tons_per_acre,tons_per_hectare,100-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_1,1,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_2,2,a,wd,hr0001,0.15689640789817785,0.35176174650771475,tons_per_acre,tons_per_hectare,1-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_2,2,a,wd,hr0010,1.7565080068796621,3.9380909514242024,tons_per_acre,tons_per_hectare,10-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_2,2,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF03,2Post-burn,2019-10-16,RxF03_2,2,a,wd,hr1000r,9.328859299283335,20.91530254899324,tons_per_acre,tons_per_hectare,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_1,1,a,wd,hr0001,0,0,tons_per_acre,tons_per_hectare,1-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_1,1,a,wd,hr0010,0.296972201795284,0.6658116764250267,tons_per_acre,tons_per_hectare,10-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_1,1,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_1,1,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_2,2,a,wd,hr0001,0.013263210735390918,0.029736118468746436,tons_per_acre,tons_per_hectare,1-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_2,2,a,wd,hr0010,1.187888807181136,2.663246705700107,tons_per_acre,tons_per_hectare,10-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_2,2,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF03,3Post-burn,2021-09-23,RxF03_2,2,a,wd,hr1000r,32.84308564933575,73.63419802581075,tons_per_acre,tons_per_hectare,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
